Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2023-05-01 16:14:14,"Push",1h 26m,"Triceps Dip",2,0,8,0,0,,,
2023-05-01 16:14:14,"Push",1h 26m,"Triceps Dip",3,0,9,0,0,,,
2023-05-01 16:14:14,"Push",1h 26m,"Bench Press (Dumbbell)",1,20.0,12,0,0,"",,
2023-05-01 16:14:14,"Push",1h 26m,"Bench Press (Dumbbell)",2,20.0,11,0,0,,,
2023-05-01 16:14:14,"Push",1h 26m,"Bench Press (Dumbbell)",3,20.0,12,0,0,,,
2023-05-01 16:14:14,"Push",1h 26m,"Bench Press (Dumbbell)",4,20.0,12,0,0,,,
2023-05-02 13:58:51,"Pull",1h 11m,"Lat Pulldown (Cable)",1,41.0,10,0,0,"","",
2023-05-02 13:58:51,"Pull",1h 11m,"Lat Pulldown (Cable)",2,41.0,12,0,0,,,
2023-05-02 13:58:51,"Pull",1h 11m,"Lat Pulldown (Cable)",3,41.0,12,0,0,,,
2023-05-02 13:58:51,"Pull",1h 11m,"Lat Pulldown (Cable)",4,41.0,10,0,0,,,
2023-05-02 13:58:51,"Pull",1h 11m,"Tricep Rope",1,32.0,10,0,0,"",,
2023-05-02 13:58:51,"Pull",1h 11m,"Tricep Rope",2,32.0,10,0,0,,,
2023-05-02 13:58:51,"Pull",1h 11m,"Tricep Rope",3,27.0,10,0,0,,,
2023-05-02 13:58:51,"Pull",1h 11m,"Tricep Rope",4,27.0,10,0,0,,,
2023-05-02 13:58:51,"Pull",1h 11m,"Hammer Curl (Dumbbell)",1,10.0,10,0,0,"",,
2023-05-02 13:58:51,"Pull",1h 11m,"Hammer Curl (Dumbbell)",2,10.0,5,0,0,,,
2023-05-02 13:58:51,"Pull",1h 11m,"Hammer Curl (Dumbbell)",3,10.0,5,0,0,,,
2023-05-02 13:58:51,"Pull",1h 11m,"Hammer Curl (Dumbbell)",4,10.0,5,0,0,,,
2023-05-03 14:23:39,"Legs",22h 30m,"Squat (Barbell)",1,75.0,10,0,0,"","",
2023-05-03 14:23:39,"Legs",22h 30m,"Squat (Barbell)",2,75.0,12,0,0,,,
2023-05-03 14:23:39,"Legs",22h 30m,"Squat (Barbell)",3,75.0,12,0,0,,,
2023-05-03 14:23:39,"Legs",22h 30m,"Squat (Barbell)",4,75.0,6,0,0,,,
2023-05-03 14:23:39,"Legs",22h 30m,"Leg Extension (Machine)",1,68.0,12,0,0,"",,
2023-05-03 14:23:39,"Legs",22h 30m,"Leg Extension (Machine)",2,68.0,12,0,0,,,
2023-05-03 14:23:39,"Legs",22h 30m,"Leg Extension (Machine)",3,68.0,12,0,0,,,
2023-05-03 14:23:39,"Legs",22h 30m,"Leg Extension (Machine)",4,68.0,12,0,0,,,
2023-05-03 14:23:39,"Legs",22h 30m,"Calf Press on Seated Leg Press",1,45.0,15,0,0,"",,
2023-05-03 14:23:39,"Legs",22h 30m,"Calf Press on Seated Leg Press",2,45.0,20,0,0,,,
2023-05-03 14:23:39,"Legs",22h 30m,"Calf Press on Seated Leg Press",3,45.0,20,0,0,,,
2023-05-03 14:23:39,"Legs",22h 30m,"Calf Press on Seated Leg Press",4,45.0,15,0,0,,,
2023-05-03 14:23:39,"Legs",22h 30m,"Seated Leg Press (Machine)",1,146.0,12,0,0,"",,
2023-05-05 14:20:27,"Push",1h 46m,"Seated Overhead Press (Dumbbell)",1,15.0,12,0,0,"","",
2023-05-05 14:20:27,"Push",1h 46m,"Seated Overhead Press (Dumbbell)",2,15.0,12,0,0,,,
2023-05-05 14:20:27,"Push",1h 46m,"Seated Overhead Press (Dumbbell)",3,15.0,8,0,0,,,
2023-05-05 14:20:27,"Push",1h 46m,"Seated Overhead Press (Dumbbell)",4,15.0,8,0,0,,,
2023-05-05 14:20:27,"Push",1h 46m,"Triceps Dip",1,0,10,0,0,"",,
2023-05-05 14:20:27,"Push",1h 46m,"Triceps Dip",2,0,8,0,0,,,
2023-05-05 14:20:27,"Push",1h 46m,"Triceps Dip",3,0,10,0,0,,,
2023-05-05 14:20:27,"Push",1h 46m,"Bench Press (Dumbbell)",1,20.0,12,0,0,"",,
