Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
21/12/2022 21:15,Arms ,23m,Bicep Curl (Dumbbell),2,8,8,0,0,,,
21/12/2022 21:15,Arms ,23m,Bicep Curl (Dumbbell),3,8,8,0,0,,,
21/12/2022 21:15,Arms ,23m,Bicep Curl (Dumbbell),4,16,8,0,0,,,
21/12/2022 21:15,Arms ,23m,Triceps Pushdown (Cable - Straight Bar),1,35,8,0,0,,,
21/12/2022 21:15,Arms ,23m,Triceps Pushdown (Cable - Straight Bar),2,42,5,0,0,,,
21/12/2022 21:15,Arms ,23m,Triceps Pushdown (Cable - Straight Bar),3,35,8,0,0,,,
21/12/2022 21:15,Arms ,23m,Triceps Pushdown (Cable - Straight Bar),4,35,6,0,0,,,
21/12/2022 21:15,Arms ,23m,Seated Palms Up Wrist Curl (Dumbbell),1,4,16,0,0,,,
21/12/2022 21:15,Arms ,23m,Seated Palms Up Wrist Curl (Dumbbell),2,4,16,0,0,,,
21/12/2022 21:39,Simple Push Day,12m,Overhead Press (Dumbbell),1,12,4,0,0,,,
21/12/2022 21:39,Simple Push Day,12m,Overhead Press (Dumbbell),2,12,6,0,0,,,
21/12/2022 21:39,Simple Push Day,12m,Overhead Press (Dumbbell),3,12,4,0,0,,,
21/12/2022 21:39,Simple Push Day,12m,Overhead Press (Dumbbell),4,12,4,0,0,,,
21/12/2022 21:39,Simple Push Day,12m,Lateral Raise (Dumbbell),1,8,16,0,0,,,
21/12/2022 21:39,Simple Push Day,12m,Lateral Raise (Dumbbell),2,8,16,0,0,,,
21/12/2022 21:39,Simple Push Day,12m,Lateral Raise (Dumbbell),3,8,11,0,0,,,
21/12/2022 21:39,Simple Push Day,12m,Lateral Raise (Dumbbell),4,8,6,0,0,,,
21/12/2022 21:52,Neck,2m,Neck Warmup,1,0,0,0,10,,,
21/12/2022 21:52,Neck,2m,Neck Curl,1,3.5,20,0,0,,,
21/12/2022 21:52,Neck,2m,Neck Curl,2,3.5,13,0,0,,,
22/12/2022 21:02,Delts,26m,Lateral Raise (Cable),1,14,7,0,0,,,
22/12/2022 21:02,Delts,26m,Lateral Raise (Cable),2,7,10,0,0,,,
22/12/2022 21:02,Delts,26m,Lateral Raise (Cable),3,7,10,0,0,,,
22/12/2022 21:02,Delts,26m,Lateral Raise (Cable),4,7,12,0,0,,,
22/12/2022 21:02,Delts,26m,Upright Row (Cable),1,42,8,0,0,,,
22/12/2022 21:02,Delts,26m,Upright Row (Cable),2,42,12,0,0,,,
22/12/2022 21:02,Delts,26m,Triceps Extension (Cable),1,21,7,0,0,,,
